,ID Number,Season,Grade Level,Gender_x,1500 Meters,Gender_y,400 Meters
718,11714,2007 Outdoor Season                     ,11th Grade,M,260.0,M,54.84
719,11735,2005 Outdoor Season                     ,9th Grade,M,273.09,M,55.37
720,11735,2006 Outdoor Season                     ,10th Grade,M,282.2,M,52.2
722,11756,2006 Outdoor Season                     ,10th Grade,M,271.8,M,64.14
723,11756,2008 Outdoor Season                     ,12th Grade,M,257.51,M,56.14
724,11760,2007 Outdoor Season                     ,11th Grade,M,256.35,M,52.04
725,11766,2005 Outdoor Season                     ,9th Grade,M,360.6,M,72.44
726,11774,2008 Outdoor Season                     ,12th Grade,M,240.1,M,54.3
727,11802,2005 Outdoor Season                     ,12th Grade,M,262.0,M,52.73
728,11813,2005 Outdoor Season                     ,9th Grade,M,274.8,M,57.24
730,11836,2005 Outdoor Season                     ,11th Grade,M,331.13,M,60.19
731,11895,2005 Outdoor Season                     ,9th Grade,M,300.2,M,56.96
732,11968,2005 Outdoor Season                     ,11th Grade,M,307.67,M,63.29
733,12006,2005 Outdoor Season                     ,12th Grade,M,322.8,M,60.94
734,12023,2007 Outdoor Season                     ,11th Grade,M,290.2,M,56.2
735,12023,2008 Outdoor Season                     ,12th Grade,M,280.3,M,52.8
736,12070,2006 Outdoor Season                     ,10th Grade,M,285.17,M,57.34
737,12070,2007 Outdoor Season                     ,11th Grade,M,278.2,M,56.84
738,12072,2005 Outdoor Season                     ,9th Grade,M,308.2,M,63.28
739,12094,2006 Outdoor Season                     ,10th Grade,M,308.9,M,60.74
740,12119,2008 Outdoor Season                     ,12th Grade,M,299.0,M,66.14
741,12134,2005 Outdoor Season                     ,9th Grade,M,331.0,M,69.58
742,12247,2006 Outdoor Season                     ,10th Grade,M,260.2,M,54.98
743,12247,2007 Outdoor Season                     ,11th Grade,M,258.38,M,54.9
744,12258,2005 Outdoor Season                     ,10th Grade,M,262.39,M,54.84
745,12258,2006 Outdoor Season                     ,11th Grade,M,266.0,M,55.31
746,12258,2007 Outdoor Season                     ,12th Grade,M,251.31,M,53.01
747,12327,2005 Outdoor Season                     ,9th Grade,M,311.0,M,56.41
748,12327,2006 Outdoor Season                     ,10th Grade,M,274.1,M,52.17
749,12367,2006 Outdoor Season                     ,10th Grade,M,271.0,M,56.21
750,12367,2007 Outdoor Season                     ,11th Grade,M,267.7,M,53.54
751,12371,2006 Outdoor Season                     ,11th Grade,M,283.0,M,59.54
752,12414,2005 Outdoor Season                     ,12th Grade,M,284.8,M,56.94
753,12420,2006 Outdoor Season                     ,10th Grade,M,256.23,M,55.14
754,12420,2008 Outdoor Season                     ,12th Grade,M,243.8,M,49.3
755,12578,2007 Outdoor Season                     ,12th Grade,M,298.9,M,54.34
756,12585,2005 Outdoor Season                     ,11th Grade,M,245.12,M,54.84
757,12585,2006 Outdoor Season                     ,12th Grade,M,241.22,M,52.6
758,12592,2006 Outdoor Season                     ,11th Grade,M,261.7,M,51.64
759,12592,2007 Outdoor Season                     ,12th Grade,M,243.9,M,50.1
760,12604,2005 Outdoor Season                     ,9th Grade,M,305.6,M,57.64
