,ID Number,Season,Grade Level,Gender_x,800 Meters,Gender_y,400 Meters
76,707,2005 Outdoor Season                     ,9th Grade,M,136.5,M,61.34
77,707,2006 Outdoor Season                     ,10th Grade,M,132.6,M,56.84
78,707,2007 Outdoor Season                     ,11th Grade,M,128.05,M,55.54
79,707,2008 Outdoor Season                     ,12th Grade,M,124.6,M,55.28
80,718,2004 Outdoor Season                     ,9th Grade,M,188.6,M,74.34
81,721,2004 Outdoor Season                     ,12th Grade,M,117.29,M,52.96
82,725,2004 Outdoor Season                     ,11th Grade,M,116.1,M,52.7
83,725,2005 Outdoor Season                     ,12th Grade,M,115.43,M,51.35
84,742,2004 Outdoor Season                     ,10th Grade,M,140.19,M,56.54
85,759,2006 Outdoor Season                     ,12th Grade,M,127.34,M,55.34
86,774,2004 Outdoor Season                     ,11th Grade,M,132.1,M,48.4
87,803,2004 Outdoor Season                     ,10th Grade,M,121.4,M,48.48
88,803,2005 Outdoor Season                     ,11th Grade,M,113.8,M,46.77
89,803,2006 Outdoor Season                     ,12th Grade,M,122.06,M,47.38
90,832,2003 Outdoor  Season                     ,9th Grade,M,142.0,M,64.5
91,832,2005 Outdoor Season                     ,11th Grade,M,125.5,M,55.74
92,835,2004 Outdoor Season                     ,12th Grade,M,118.1,M,53.64
93,836,2004 Outdoor Season                     ,12th Grade,M,125.39,M,52.54
94,839,2006 Outdoor Season                     ,12th Grade,M,123.5,M,55.04
95,877,2004 Outdoor Season                     ,12th Grade,M,116.71,M,52.24
96,878,2004 Outdoor Season                     ,12th Grade,M,116.1,M,55.04
97,887,2004 Outdoor Season                     ,10th Grade,M,130.3,M,53.59
98,887,2005 Outdoor Season                     ,11th Grade,M,146.7,M,53.14
99,887,2006 Outdoor Season                     ,12th Grade,M,129.7,M,50.37
100,923,2004 Outdoor Season                     ,12th Grade,M,142.08,M,58.84
101,927,2005 Outdoor Season                     ,12th Grade,M,136.54,M,56.8
102,984,2006 Outdoor Season                     ,11th Grade,M,122.51,M,55.94
103,990,2007 Outdoor Season                     ,12th Grade,M,136.2,M,51.7
104,995,2004 Outdoor Season                     ,9th Grade,M,160.79,M,56.54
105,997,2005 Outdoor Season                     ,10th Grade,M,133.62,M,56.59
106,1017,2004 Outdoor Season                     ,11th Grade,M,137.75,M,55.92
107,1029,2004 Outdoor Season                     ,12th Grade,M,129.6,M,55.04
108,1059,2004 Outdoor Season                     ,9th Grade,M,147.96,M,67.54
109,1065,2005 Outdoor Season                     ,10th Grade,M,125.06,M,51.98
110,1065,2007 Outdoor Season                     ,12th Grade,M,136.35,M,49.79
111,1103,2006 Outdoor Season                     ,9th Grade,M,161.5,M,64.64
112,1106,2006 Outdoor Season                     ,12th Grade,M,127.76,M,57.54
113,1108,2005 Outdoor Season                     ,12th Grade,M,119.69,M,52.44
114,1116,2004 Outdoor Season                     ,12th Grade,M,131.3,M,57.54
115,1170,2005 Outdoor Season                     ,12th Grade,M,129.0,M,57.44
116,1217,2005 Outdoor Season                     ,11th Grade,M,124.7,M,54.24
117,1220,2003 Outdoor  Season                     ,10th Grade,M,167.0,M,72.1
118,1223,2003 Outdoor  Season                     ,9th Grade,M,152.0,M,66.7
119,1224,2002 Outdoor  Season                     ,10th Grade,M,118.6,M,53.14
120,1224,2003 Outdoor  Season                     ,11th Grade,M,115.4,M,51.8
121,1224,2004 Outdoor Season                     ,12th Grade,M,114.57,M,52.14
122,1226,2004 Outdoor Season                     ,10th Grade,M,128.0,M,57.64
123,1226,2005 Outdoor Season                     ,11th Grade,M,128.9,M,55.94
124,1229,2003 Outdoor  Season                     ,9th Grade,M,145.2,M,64.4
125,1229,2005 Outdoor Season                     ,11th Grade,M,138.0,M,59.14
126,1243,2006 Outdoor Season                     ,11th Grade,M,131.8,M,57.74
127,1244,2003 Outdoor  Season                     ,10th Grade,M,179.0,M,77.0
128,1246,2003 Outdoor  Season                     ,11th Grade,M,133.5,M,58.5
129,1265,2004 Outdoor Season                     ,9th Grade,M,134.8,M,56.34
130,1308,2004 Outdoor Season                     ,9th Grade,M,147.89,M,66.71
131,1320,2004 Outdoor Season                     ,10th Grade,M,153.77,M,62.14
132,1392,2004 Outdoor Season                     ,10th Grade,M,138.0,M,57.34
133,1392,2005 Outdoor Season                     ,11th Grade,M,133.18,M,53.0
134,1411,2004 Outdoor Season                     ,11th Grade,M,125.1,M,53.54
135,1413,2004 Outdoor Season                     ,10th Grade,M,155.1,M,56.94
136,1414,2005 Outdoor Season                     ,12th Grade,M,136.18,M,55.0
137,1415,2004 Outdoor Season                     ,9th Grade,M,146.2,M,59.0
138,1448,2005 Outdoor Season                     ,12th Grade,M,129.0,M,57.14
139,1450,2006 Outdoor Season                     ,11th Grade,M,126.26,M,56.34
140,1454,2004 Outdoor Season                     ,10th Grade,M,140.4,M,60.14
141,1473,2005 Outdoor Season                     ,10th Grade,M,134.8,M,58.9
142,1473,2006 Outdoor Season                     ,11th Grade,M,125.71,M,56.9
143,1473,2007 Outdoor Season                     ,12th Grade,M,124.92,M,58.2
144,1475,2004 Outdoor Season                     ,9th Grade,M,138.0,M,59.6
145,1475,2005 Outdoor Season                     ,10th Grade,M,121.2,M,53.2
146,1475,2006 Outdoor Season                     ,11th Grade,M,120.1,M,53.5
147,1475,2007 Indoor Season                     ,12th Grade,M,121.0,M,53.8
148,1475,2007 Outdoor Season                     ,12th Grade,M,119.05,M,52.2
149,1476,2005 Outdoor Season                     ,11th Grade,M,145.67,M,57.14
150,1476,2006 Outdoor Season                     ,12th Grade,M,143.7,M,56.2
151,1478,2004 Outdoor Season                     ,9th Grade,M,127.21,M,52.95
152,1478,2005 Outdoor Season                     ,10th Grade,M,122.44,M,52.0
153,1478,2006 Outdoor Season                     ,11th Grade,M,119.5,M,51.4
154,1482,2004 Outdoor Season                     ,9th Grade,M,147.9,M,62.6
155,1488,2007 Outdoor Season                     ,12th Grade,M,121.2,M,52.4
