ID Number,Gender,Grade Level,Season,1500 Meters
63,M,12th Grade,2005 Outdoor Season                     ,291.4
63,M,12th Grade,2005 Outdoor Season                     ,267.37
63,M,12th Grade,2005 Outdoor Season                     ,267.4
63,M,12th Grade,2005 Outdoor Season                     ,261.68
63,M,11th Grade,2004 Outdoor Season                     ,265.0
63,M,11th Grade,2004 Outdoor Season                     ,282.3
63,M,11th Grade,2004 Outdoor Season                     ,264.6
63,M,11th Grade,2004 Outdoor Season                     ,266.6
63,M,11th Grade,2004 Outdoor Season                     ,261.6
63,M,11th Grade,2004 Outdoor Season                     ,266.46
63,M,11th Grade,2004 Outdoor Season                     ,260.18
63,M,10th Grade,2003 Outdoor  Season                     ,275.7
63,M,9th Grade,2002 Outdoor  Season                     ,278.0
63,M,9th Grade,2002 Outdoor  Season                     ,280.6
74,M,11th Grade,1998 Outdoor  Season                     ,260.0
74,M,10th Grade,1997 Outdoor  Season                     ,259.1
74,M,9th Grade,1996 Outdoor  Season                     ,267.8
108,M,9th Grade,1996 Outdoor  Season                     ,348.5
121,M,9th Grade,2004 Outdoor Season                     ,354.0
121,M,9th Grade,2004 Outdoor Season                     ,345.7
121,M,9th Grade,2004 Outdoor Season                     ,345.0
125,M,12th Grade,2006 Outdoor Season                     ,280.34
125,M,12th Grade,2006 Outdoor Season                     ,280.0
125,M,11th Grade,2005 Outdoor Season                     ,291.8
125,M,11th Grade,2005 Outdoor Season                     ,282.7
125,M,11th Grade,2005 Outdoor Season                     ,277.9
125,M,11th Grade,2005 Outdoor Season                     ,279.4
125,M,11th Grade,2005 Outdoor Season                     ,279.0
125,M,10th Grade,2004 Outdoor Season                     ,280.7
125,M,10th Grade,2004 Outdoor Season                     ,288.8
125,M,10th Grade,2004 Outdoor Season                     ,274.2
125,M,10th Grade,2004 Outdoor Season                     ,276.7
125,M,10th Grade,2004 Outdoor Season                     ,278.9
125,M,10th Grade,2004 Outdoor Season                     ,273.7
125,M,10th Grade,2004 Outdoor Season                     ,272.5
125,M,10th Grade,2004 Outdoor Season                     ,278.33
125,M,9th Grade,2003 Outdoor  Season                     ,280.6
129,M,10th Grade,2002 Outdoor  Season                     ,298.3
129,M,9th Grade,2001 Outdoor  Season                     ,301.0
164,M,12th Grade,2001 Outdoor  Season                     ,314.9
201,M,10th Grade,2000 Outdoor  Season                     ,297.0
201,M,9th Grade,1999 Outdoor  Season                     ,304.3
327,M,11th Grade,1999 Outdoor  Season                     ,269.1
327,M,10th Grade,1998 Outdoor  Season                     ,269.0
327,M,9th Grade,1997 Outdoor  Season                     ,306.0
340,M,?,2011 Outdoor Season                     ,282.52
340,M,12th Grade,1997 Outdoor  Season                     ,248.5
340,M,11th Grade,1996 Outdoor  Season                     ,246.6
340,M,10th Grade,1995 Outdoor  Season                     ,264.4
340,M,9th Grade,1994 Outdoor  Season                     ,274.0
357,M,11th Grade,1997 Outdoor  Season                     ,283.0
357,M,10th Grade,1996 Outdoor  Season                     ,291.6
357,M,9th Grade,1995 Outdoor  Season                     ,327.0
382,M,11th Grade,1997 Outdoor  Season                     ,288.2
