ID Number,Gender,Grade Level,Season,800 Meters
535,M,11th Grade,2006 Outdoor Season                     ,121.5
535,M,11th Grade,2006 Outdoor Season                     ,116.0
535,M,11th Grade,2006 Outdoor Season                     ,116.0
535,M,11th Grade,2006 Outdoor Season                     ,116.3
535,M,11th Grade,2006 Outdoor Season                     ,115.3
535,M,11th Grade,2006 Indoor Season                     ,122.1
535,M,10th Grade,2005 Outdoor Season                     ,122.84
535,M,10th Grade,2005 Outdoor Season                     ,119.1
535,M,10th Grade,2005 Outdoor Season                     ,121.3
535,M,10th Grade,2005 Outdoor Season                     ,116.9
535,M,10th Grade,2005 Outdoor Season                     ,120.5
535,M,10th Grade,2005 Outdoor Season                     ,122.21
535,M,10th Grade,2005 Outdoor Season                     ,116.5
535,M,9th Grade,2004 Outdoor Season                     ,123.67
535,M,9th Grade,2004 Outdoor Season                     ,120.4
537,M,12th Grade,2004 Outdoor Season                     ,129.0
538,M,12th Grade,2006 Outdoor Season                     ,125.32
538,M,12th Grade,2006 Outdoor Season                     ,121.51
538,M,12th Grade,2006 Outdoor Season                     ,120.6
538,M,12th Grade,2006 Outdoor Season                     ,124.94
538,M,12th Grade,2006 Outdoor Season                     ,122.4
538,M,12th Grade,2006 Outdoor Season                     ,121.51
538,M,12th Grade,2006 Outdoor Season                     ,123.05
538,M,11th Grade,2005 Outdoor Season                     ,127.6
538,M,11th Grade,2005 Outdoor Season                     ,122.35
538,M,11th Grade,2005 Outdoor Season                     ,124.2
538,M,11th Grade,2005 Outdoor Season                     ,125.4
538,M,11th Grade,2005 Outdoor Season                     ,123.0
538,M,11th Grade,2005 Outdoor Season                     ,122.2
538,M,11th Grade,2005 Outdoor Season                     ,122.85
538,M,11th Grade,2005 Outdoor Season                     ,119.86
538,M,9th Grade,2003 Outdoor  Season                     ,123.0
539,M,12th Grade,2005 Outdoor Season                     ,119.25
539,M,12th Grade,2005 Outdoor Season                     ,119.8
539,M,9th Grade,2002 Outdoor  Season                     ,124.3
540,M,12th Grade,2007 Outdoor Season                     ,129.5
540,M,12th Grade,2007 Outdoor Season                     ,123.69
540,M,12th Grade,2007 Outdoor Season                     ,124.69
540,M,12th Grade,2007 Outdoor Season                     ,121.73
540,M,12th Grade,2007 Outdoor Season                     ,121.47
540,M,12th Grade,2007 Outdoor Season                     ,120.61
540,M,12th Grade,2007 Outdoor Season                     ,125.5
540,M,12th Grade,2007 Outdoor Season                     ,124.0
540,M,12th Grade,2007 Outdoor Season                     ,123.8
540,M,11th Grade,2006 Outdoor Season                     ,127.1
540,M,11th Grade,2006 Outdoor Season                     ,127.1
540,M,11th Grade,2006 Outdoor Season                     ,125.83
540,M,11th Grade,2006 Outdoor Season                     ,125.08
540,M,11th Grade,2006 Outdoor Season                     ,125.1
540,M,11th Grade,2006 Outdoor Season                     ,127.43
540,M,10th Grade,2005 Outdoor Season                     ,135.2
540,M,10th Grade,2005 Outdoor Season                     ,134.0
540,M,10th Grade,2005 Outdoor Season                     ,133.0
540,M,10th Grade,2005 Outdoor Season                     ,134.67
540,M,10th Grade,2005 Outdoor Season                     ,131.6
