,ID Number,Season,Grade Level,Gender_x,1500 Meters,Gender_y,800 Meters
0,63,2002 Outdoor  Season                     ,9th Grade,M,278.0,M,128.9
1,63,2003 Outdoor  Season                     ,10th Grade,M,275.7,M,126.53
2,63,2004 Outdoor Season                     ,11th Grade,M,260.18,M,121.07
3,63,2005 Outdoor Season                     ,12th Grade,M,261.68,M,120.28
4,74,1996 Outdoor  Season                     ,9th Grade,M,267.8,M,128.5
5,74,1997 Outdoor  Season                     ,10th Grade,M,259.1,M,124.5
6,74,1998 Outdoor  Season                     ,11th Grade,M,260.0,M,127.3
7,121,2004 Outdoor Season                     ,9th Grade,M,345.0,M,163.17
8,125,2003 Outdoor  Season                     ,9th Grade,M,280.6,M,142.5
9,125,2004 Outdoor Season                     ,10th Grade,M,272.5,M,133.7
10,125,2005 Outdoor Season                     ,11th Grade,M,277.9,M,125.02
11,125,2006 Outdoor Season                     ,12th Grade,M,280.0,M,126.19
12,129,2002 Outdoor  Season                     ,10th Grade,M,298.3,M,137.8
13,201,1999 Outdoor  Season                     ,9th Grade,M,304.3,M,151.3
14,201,2000 Outdoor  Season                     ,10th Grade,M,297.0,M,151.3
15,327,1998 Outdoor  Season                     ,10th Grade,M,269.0,M,132.0
16,340,1997 Outdoor  Season                     ,12th Grade,M,248.5,M,123.3
17,357,1995 Outdoor  Season                     ,9th Grade,M,327.0,M,167.0
18,357,1996 Outdoor  Season                     ,10th Grade,M,291.6,M,139.2
19,357,1997 Outdoor  Season                     ,11th Grade,M,283.0,M,130.8
20,382,1997 Outdoor  Season                     ,11th Grade,M,288.2,M,140.5
21,409,2002 Outdoor  Season                     ,9th Grade,M,310.3,M,136.4
22,425,2000 Outdoor  Season                     ,12th Grade,M,394.0,M,167.0
23,455,2006 Outdoor Season                     ,9th Grade,M,323.3,M,149.46
24,455,2007 Outdoor Season                     ,10th Grade,M,340.1,M,144.4
25,529,2004 Outdoor Season                     ,10th Grade,M,314.55,M,169.55
26,533,2004 Outdoor Season                     ,10th Grade,M,244.45,M,124.32
27,533,2005 Outdoor Season                     ,11th Grade,M,233.77,M,114.39
28,533,2006 Outdoor Season                     ,12th Grade,M,229.99,M,112.8
29,534,2004 Outdoor Season                     ,12th Grade,M,236.9,M,121.49
30,535,2004 Outdoor Season                     ,9th Grade,M,250.97,M,120.4
31,535,2005 Outdoor Season                     ,10th Grade,M,249.8,M,116.5
32,535,2006 Outdoor Season                     ,11th Grade,M,247.76,M,115.3
33,538,2005 Outdoor Season                     ,11th Grade,M,263.4,M,119.86
